epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,25241.1,0.38093,0.15853,0.00124,0.99294,0.99,0.99462,0.96998,0.25226,0.09486,0.00122,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
72,25614,0.38437,0.16032,0.00124,0.99292,0.98845,0.99456,0.97011,0.25201,0.09541,0.00122,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942
73,25973.8,0.38456,0.15843,0.00123,0.9933,0.99086,0.99458,0.97095,0.25207,0.09482,0.00122,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
74,26331.5,0.37407,0.15418,0.00122,0.99154,0.99068,0.9945,0.96991,0.25115,0.0961,0.00122,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546
75,26690.8,0.37645,0.15532,0.0012,0.99326,0.99121,0.9946,0.97126,0.25055,0.09462,0.00122,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
76,27061.7,0.37911,0.15568,0.00123,0.99479,0.99,0.99462,0.97229,0.24994,0.09333,0.00122,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
77,27424,0.37923,0.15627,0.00122,0.99213,0.99284,0.99461,0.97226,0.24968,0.09245,0.00122,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
78,27783.1,0.38065,0.1585,0.00125,0.99178,0.99145,0.99466,0.97211,0.24968,0.09478,0.00121,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754
79,28142.9,0.37626,0.15592,0.00121,0.99149,0.99082,0.99453,0.9722,0.24887,0.09421,0.00121,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
80,28503.4,0.37886,0.1569,0.00122,0.99394,0.98956,0.99454,0.97202,0.24867,0.09445,0.00121,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358
81,28875.3,0.37324,0.15219,0.0012,0.99302,0.98952,0.99458,0.97219,0.24902,0.09356,0.00121,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
